# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 10)

Iteration   2: 22.165 ns/op
Iteration   3: 22.167 ns/op
Iteration   4: 22.291 ns/op
Iteration   5: 22.111 ns/op
Iteration   6: 22.332 ns/op
Iteration   7: 22.100 ns/op
Iteration   8: 22.105 ns/op
Iteration   9: 22.223 ns/op
Iteration  10: 22.109 ns/op
Iteration  11: 22.113 ns/op
Iteration  12: 22.102 ns/op
Iteration  13: 22.113 ns/op
Iteration  14: 22.225 ns/op
Iteration  15: 22.105 ns/op
Iteration  16: 21.870 ns/op
Iteration  17: 22.081 ns/op
Iteration  18: 22.147 ns/op
Iteration  19: 22.279 ns/op
Iteration  20: 22.135 ns/op

# Run progress: 25.00% complete, ETA 00:30:11
# Fork: 6 of 10
# Warmup Iteration   1: 22.744 ns/op
# Warmup Iteration   2: 21.863 ns/op
# Warmup Iteration   3: 22.272 ns/op
# Warmup Iteration   4: 22.424 ns/op
# Warmup Iteration   5: 22.777 ns/op
# Warmup Iteration   6: 22.198 ns/op
# Warmup Iteration   7: 22.082 ns/op
# Warmup Iteration   8: 22.339 ns/op
# Warmup Iteration   9: 22.372 ns/op
# Warmup Iteration  10: 22.263 ns/op
# Warmup Iteration  11: 22.066 ns/op
# Warmup Iteration  12: 22.102 ns/op
